Ref,Val,Package,PosX,PosY,Rot,Side
"D1","1N4148","D_1206_3216Metric",85.209250,-47.532000,180.000000,bottom
"D2","1N4148","D_1206_3216Metric",85.209250,-66.532000,180.000000,bottom
"D3","1N4148","D_1206_3216Metric",85.209250,-85.632000,180.000000,bottom
"D4","1N4148","D_1206_3216Metric",85.209250,-104.682000,180.000000,bottom
"D5","1N4148","D_1206_3216Metric",85.209250,-123.732000,180.000000,bottom
"D6","1N4148","D_1206_3216Metric",104.259250,-47.532000,180.000000,bottom
"D7","1N4148","D_1206_3216Metric",104.109250,-66.532000,180.000000,bottom
"D8","1N4148","D_1206_3216Metric",104.209250,-85.532000,180.000000,bottom
"D9","1N4148","D_1206_3216Metric",104.259250,-104.682000,180.000000,bottom
"D10","1N4148","D_1206_3216Metric",104.259250,-123.732000,180.000000,bottom
"D11","1N4148","D_1206_3216Metric",123.309250,-47.532000,180.000000,bottom
"D12","1N4148","D_1206_3216Metric",123.309250,-66.582000,180.000000,bottom
"D13","1N4148","D_1206_3216Metric",123.309250,-85.632000,180.000000,bottom
"D14","1N4148","D_1206_3216Metric",123.309250,-104.632000,180.000000,bottom
"D15","1N4148","D_1206_3216Metric",123.309250,-123.732000,180.000000,bottom
"D16","1N4148","D_1206_3216Metric",142.359250,-47.532000,180.000000,bottom
"D17","1N4148","D_1206_3216Metric",142.359250,-66.582000,180.000000,bottom
"D18","1N4148","D_1206_3216Metric",142.359250,-85.632000,180.000000,bottom
"D19","1N4148","D_1206_3216Metric",142.359250,-104.682000,180.000000,bottom
"D20","1N4148","D_1206_3216Metric",142.359250,-123.732000,180.000000,bottom
"D21","1N4148","D_1206_3216Metric",161.409250,-47.532000,180.000000,bottom
"D22","1N4148","D_1206_3216Metric",161.409250,-66.582000,180.000000,bottom
"D23","1N4148","D_1206_3216Metric",161.409250,-85.632000,180.000000,bottom
"D24","1N4148","D_1206_3216Metric",161.409250,-104.682000,180.000000,bottom
"D25","1N4148","D_1206_3216Metric",161.409250,-123.732000,180.000000,bottom
"D26","1N4148","D_1206_3216Metric",180.459250,-47.532000,180.000000,bottom
"D27","1N4148","D_1206_3216Metric",180.459250,-66.582000,180.000000,bottom
"D28","1N4148","D_1206_3216Metric",180.459250,-85.632000,180.000000,bottom
"D29","1N4148","D_1206_3216Metric",180.459250,-104.682000,180.000000,bottom
"D30","1N4148","D_1206_3216Metric",190.619250,-134.400000,-115.000000,bottom
"D31","1N4148","D_1206_3216Metric",199.509250,-47.532000,180.000000,bottom
"D32","1N4148","D_1206_3216Metric",199.509250,-66.582000,180.000000,bottom
"D33","1N4148","D_1206_3216Metric",199.509250,-85.632000,180.000000,bottom
"D34","1N4148","D_1206_3216Metric",207.891250,-142.528000,-115.000000,bottom
"D35","1N4148","D_1206_3216Metric",216.527250,-152.434000,155.000000,bottom
"J1","Conn_01x12_Pin","PinSocket_1x12_P2.54mm_Vertical",227.449250,-38.134000,180.000000,bottom
"J2","Conn_01x12_Pin","PinSocket_1x12_P2.54mm_Vertical",212.209250,-38.134000,180.000000,bottom
