Designator,Mid X,Mid Y,Rotation,Layer
D1,85.20925,-47.532,0.0,bottom
D10,104.25925,-123.732,0.0,bottom
D11,123.30925,-47.532,0.0,bottom
D12,123.30925,-66.582,0.0,bottom
D13,123.30925,-85.632,0.0,bottom
D14,123.30925,-104.632,0.0,bottom
D15,123.30925,-123.732,0.0,bottom
D16,142.35925,-47.532,0.0,bottom
D17,142.35925,-66.582,0.0,bottom
D18,142.35925,-85.632,0.0,bottom
D19,142.35925,-104.682,0.0,bottom
D2,85.20925,-66.532,0.0,bottom
D20,142.35925,-123.732,0.0,bottom
D21,161.40925,-47.532,0.0,bottom
D22,161.40925,-66.582,0.0,bottom
D23,161.40925,-85.632,0.0,bottom
D24,161.40925,-104.682,0.0,bottom
D25,161.40925,-123.732,0.0,bottom
D26,180.45925,-47.532,0.0,bottom
D27,180.45925,-66.582,0.0,bottom
D28,180.45925,-85.632,0.0,bottom
D29,180.45925,-104.682,0.0,bottom
D3,85.20925,-85.632,0.0,bottom
D30,190.61925,-134.4,295.0,bottom
D31,199.50925,-47.532,0.0,bottom
D32,199.50925,-66.582,0.0,bottom
D33,199.50925,-85.632,0.0,bottom
D34,207.89125,-142.528,295.0,bottom
D35,216.52725,-152.434,25.0,bottom
D4,85.20925,-104.682,0.0,bottom
D5,85.20925,-123.732,0.0,bottom
D6,104.25925,-47.532,0.0,bottom
D7,104.10925,-66.532,0.0,bottom
D8,104.20925,-85.532,0.0,bottom
D9,104.25925,-104.682,0.0,bottom
J1,230.62385,-52.104,0.0,bottom
J2,215.38385,-52.104,0.0,bottom
J3,230.62385,-82.314,90.0,top
SW1,88.38425,-41.759,0.0,top
SW10,107.43425,-117.959,0.0,top
SW11,126.48425,-41.759,0.0,top
SW12,126.48425,-60.809,0.0,top
SW13,126.48425,-79.859,0.0,top
SW14,126.48425,-98.909,0.0,top
SW15,126.48425,-117.959,0.0,top
SW16,145.53425,-41.759,0.0,top
SW17,145.53425,-60.809,0.0,top
SW18,145.53425,-79.859,0.0,top
SW19,145.53425,-98.909,0.0,top
SW2,88.38425,-60.809,0.0,top
SW20,145.53425,-117.959,0.0,top
SW21,164.58425,-41.759,0.0,top
SW22,164.58425,-60.809,0.0,top
SW23,164.58425,-79.859,0.0,top
SW24,164.58425,-98.909,0.0,top
SW25,164.58425,-117.959,0.0,top
SW26,183.63425,-41.759,0.0,top
SW27,183.63425,-60.809,0.0,top
SW28,183.63425,-79.859,0.0,top
SW29,183.63425,-98.909,0.0,top
SW3,88.38425,-79.859,0.0,top
SW30,186.6223938984182,-129.21452938167778,65.0,top
SW31,202.68425,-41.759,0.0,top
SW32,202.68425,-60.809,0.0,top
SW33,202.68425,-79.859,0.0,top
SW34,203.8875588984182,-137.2654083816778,65.0,top
SW35,221.91745761832223,-148.62166689841823,335.0,top
SW36,202.68425,-100.999,270.0,top
SW37,223.00385,-38.769,180.0,top
SW4,88.38425,-98.909,0.0,top
SW5,88.38425,-117.959,0.0,top
SW6,107.43425,-41.759,0.0,top
SW7,107.43425,-60.809,0.0,top
SW8,107.43425,-79.859,0.0,top
SW9,107.43425,-98.909,0.0,top
