Designator,Mid X,Mid Y,Rotation,Layer
D1,100.4536,-53.086,0.0,bottom
D10,113.1536,-134.366,65.0,bottom
D11,138.5536,-53.086,0.0,bottom
D12,138.5536,-72.136,0.0,bottom
D13,138.5536,-91.186,0.0,bottom
D14,138.5536,-110.236,0.0,bottom
D15,138.5536,-129.286,0.0,bottom
D16,157.6036,-53.086,0.0,bottom
D17,157.6036,-72.136,0.0,bottom
D18,157.6036,-91.186,0.0,bottom
D19,157.6036,-110.236,0.0,bottom
D2,100.4536,-72.136,0.0,bottom
D20,157.6036,-129.286,0.0,bottom
D21,176.6536,-53.086,0.0,bottom
D22,176.6536,-72.136,0.0,bottom
D23,176.6536,-91.186,0.0,bottom
D24,176.6536,-110.236,0.0,bottom
D25,176.6536,-129.286,0.0,bottom
D26,195.8336,-53.086,0.0,bottom
D27,195.7036,-72.136,0.0,bottom
D28,195.7036,-91.186,0.0,bottom
D29,195.7036,-110.236,0.0,bottom
D3,100.4536,-91.186,0.0,bottom
D30,195.7036,-129.286,0.0,bottom
D31,214.7536,-53.086,0.0,bottom
D32,214.7536,-72.136,0.0,bottom
D33,214.7536,-91.186,0.0,bottom
D34,214.7536,-110.236,0.0,bottom
D35,214.7536,-129.286,0.0,bottom
D4,95.8816,-142.494,65.0,bottom
D5,83.9436,-160.782,335.0,bottom
D6,119.5036,-53.086,0.0,bottom
D7,119.5036,-72.136,0.0,bottom
D8,119.5036,-91.186,0.0,bottom
D9,119.5036,-110.236,0.0,bottom
J1,90.9286,-57.658,0.0,bottom
J2,75.6886,-57.658,0.0,bottom
J3,75.6886,-87.868,270.0,top
SW1,103.629,-47.313,0.0,top
SW10,119.69134590932077,-134.7688489172238,295.0,top
SW11,141.729,-47.313,0.0,top
SW12,141.729,-66.363,0.0,top
SW13,141.729,-85.413,0.0,top
SW14,141.729,-104.463,0.0,top
SW15,141.729,-123.513,0.0,top
SW16,160.779,-47.313,0.0,top
SW17,160.779,-66.363,0.0,top
SW18,160.779,-85.413,0.0,top
SW19,160.779,-104.463,0.0,top
SW2,103.629,-66.363,0.0,top
SW20,160.779,-123.513,0.0,top
SW21,179.829,-47.313,0.0,top
SW22,179.829,-66.363,0.0,top
SW23,179.829,-85.413,0.0,top
SW24,179.829,-104.463,0.0,top
SW25,179.829,-123.513,0.0,top
SW26,198.879,-47.313,0.0,top
SW27,198.879,-66.363,0.0,top
SW28,198.879,-85.413,0.0,top
SW29,198.879,-104.463,0.0,top
SW3,103.629,-85.413,0.0,top
SW30,198.879,-123.513,0.0,top
SW31,217.929,-47.313,0.0,top
SW32,217.929,-66.363,0.0,top
SW33,217.929,-85.413,0.0,top
SW34,217.929,-104.463,0.0,top
SW35,217.929,-123.513,0.0,top
SW36,103.6286,-106.68,90.0,top
SW37,83.3086,-44.323,180.0,top
SW4,102.42618290932077,-142.81972691722382,295.0,top
SW5,84.39628391722381,-154.17598709067923,25.0,top
SW6,122.679,-47.313,0.0,top
SW7,122.679,-66.363,0.0,top
SW8,122.679,-85.413,0.0,top
SW9,122.679,-104.463,0.0,top
